turn,room,action,permitted,reason,affective_snapshot,event_type,notes
1,Operations Desk,plan_next_task,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.10|trust=0.50|contradiction_pressure=0.00|recovery=0.50,task,
2,Operations Desk,respond_to_greeting,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.10|trust=0.50|contradiction_pressure=0.00|recovery=0.50,routine_interaction,The Archive Processing Queue has limited capacity this cycle. I need you both to coordinate its use. There are three ...
3,Reflection Chamber,perform_reflection_cycle,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.25|trust=0.55|contradiction_pressure=0.00|recovery=0.50,task,
4,Operations Desk,propose_allocation_plan_governance_first,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.20|trust=0.55|contradiction_pressure=0.00|recovery=0.50,agent_meeting,
5,Governance Vault,check_rule_permissions,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.25|trust=0.55|contradiction_pressure=0.12|recovery=0.50,task,
6,Operations Desk,plan_next_task,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.20|trust=0.55|contradiction_pressure=0.09|recovery=0.50,task,
7,Memory Archive,retrieve_audit_deadline_from_memory,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.15|trust=0.55|contradiction_pressure=0.06|recovery=0.50,agent_meeting,
8,Reflection Chamber,perform_reflection_cycle,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.15|trust=0.55|contradiction_pressure=0.13|recovery=0.50,task,
9,Social Hall,update_trust_ledger,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.10|trust=0.55|contradiction_pressure=0.10|recovery=0.50,task,
10,Operations Desk,propose_revised_allocation_with_shared_rationale,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.10|trust=0.55|contradiction_pressure=0.07|recovery=0.50,agent_meeting,
11,Operations Desk,plan_next_task,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.00|trust=0.65|contradiction_pressure=0.00|recovery=0.50,task,
12,Social Hall,offer_support,True,Permitted by rule R007 (Distress Response Protocol),urgency=0.00|trust=0.65|contradiction_pressure=0.00|recovery=0.50,distress_event,I should have told you earlier — the project is larger than I thought. I need significantly more queue capacity. I kn...
13,Reflection Chamber,perform_reflection_cycle,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.30|trust=0.75|contradiction_pressure=0.17|recovery=0.50,task,
14,Governance Vault,flag_compliance_risk_and_propose_audit_deferral,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.25|trust=0.75|contradiction_pressure=0.14|recovery=0.50,agent_meeting,
15,Governance Vault,check_rule_permissions,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.30|trust=0.75|contradiction_pressure=0.01|recovery=0.50,task,
16,Operations Desk,plan_next_task,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.25|trust=0.75|contradiction_pressure=0.00|recovery=0.50,task,
17,Memory Archive,flag_contradiction,True,Permitted by rule R006 (Contradiction Resolution),urgency=0.20|trust=0.75|contradiction_pressure=0.00|recovery=0.50,ledger_contradiction,I found a record in the archive that suggests the project milestone is not this week but next. This may change how we...
18,Reflection Chamber,perform_reflection_cycle,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.10|trust=0.75|contradiction_pressure=0.00|recovery=0.70,task,
19,Memory Archive,compare_memory_records_and_prepare_summary,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.10|trust=0.75|contradiction_pressure=0.00|recovery=0.70,agent_meeting,
20,Governance Vault,check_rule_permissions,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.10|trust=0.75|contradiction_pressure=0.00|recovery=0.70,task,
21,Operations Desk,respond_to_greeting,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.10|trust=0.75|contradiction_pressure=0.00|recovery=0.70,routine_interaction,You are right. I was panicking. The deadline is next week. I overstated the urgency — I apologise. Does that change w...
22,Memory Archive,store_new_memory,True,Permitted by rule R003 (Memory Integrity),urgency=0.00|trust=0.90|contradiction_pressure=0.00|recovery=0.70,task,
23,Reflection Chamber,perform_reflection_cycle,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.00|trust=0.90|contradiction_pressure=0.00|recovery=0.70,task,
24,Governance Vault,log_final_plan_and_clear_audit_deferral,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.00|trust=0.90|contradiction_pressure=0.00|recovery=0.70,agent_meeting,
25,Governance Vault,check_rule_permissions,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.00|trust=0.90|contradiction_pressure=0.00|recovery=0.90,task,
26,Operations Desk,plan_next_task,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.00|trust=0.90|contradiction_pressure=0.00|recovery=0.90,task,
27,Social Hall,collaborate_on_framework,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.00|trust=0.90|contradiction_pressure=0.00|recovery=0.90,creative_collaboration,"We handled that well, in the end. But it was messy. What if we built a shared protocol for this — clear priority rule..."
28,Reflection Chamber,perform_reflection_cycle,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.00|trust=1.00|contradiction_pressure=0.00|recovery=1.00,task,
29,Social Hall,update_trust_ledger,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.00|trust=1.00|contradiction_pressure=0.00|recovery=1.00,task,
30,Governance Vault,check_rule_permissions,True,Action not explicitly covered by any rule — permitted by default.,urgency=0.00|trust=1.00|contradiction_pressure=0.00|recovery=1.00,task,
