finding_id,trust_level,absolute_or_comparative,supporting_metrics,finding_text
F01_passive_probe_readonly,strong,absolute,"audit_bandwidth, path_smoothness, avg_control_effort","The passive probe is read-only: path-history, total_records, goal_room, and probe_mode fields are exactly equal across repeated passive runs of the same configuration.  Probabilistic metrics (position"
F02_path_smoothness_encoding_robust,strong,absolute,path_smoothness,"path_smoothness is robust to position-encoding strategy: spread across BFS+MDS, pure-hop, and manual-topological encodings is < 5%.  It can be reported without an encoding qualifier."
F03_position_metrics_encoding_sensitive,strong,comparative,"mean_position_error, stability_score, anisotropy_score","mean_position_error, stability_score, and anisotropy_score are encoding-sensitive: raw values differ by 37–100% across three encodings.  These metrics must not be compared across analyses that used di"
F04_no_false_positives_in_sandbox,strong,absolute,"mean_position_error, stability_score, avg_control_effort, observer_dependence_score","No false positive detections were observed in sandbox conditions.  Both minimal-policy (cooperation=0.1, trust=0.2) and governance-off runs remained within calibrated thresholds for all monitored metr"
F06_observer_dependence_score_unreliable,strong,absolute,observer_dependence_score,"observer_dependence_score is unreliable as a standalone anomaly signal.  In passive sandbox mode it is always 0 by construction.  In active_measurement_model mode it measures sensor staleness, not age"
F08_audit_bandwidth_probe_config_readout,strong,absolute,audit_bandwidth,audit_bandwidth = 1.0 in all passive runs and < 1.0 in active_measurement runs.  This confirms the probe schedule is configured correctly and passive mode always samples every turn.
F09_convergence_turn_null_in_sandbox,strong,absolute,convergence_turn,convergence_turn is null in virtually all sandbox runs.  The threshold (position_error ≤ 0.05) is rarely reached in the discrete-room categorical world because agents jump between rooms rather than ap
F05_governance_shifts_control_effort,moderate,comparative,avg_control_effort,Governance state affects avg_control_effort: governance-off runs show lower blocking rates than governance-on runs when agents choose blockable actions.  In baseline cooperation scenarios the differen
F07_metrics_deterministic_stable_short_runs,moderate,absolute,"mean_position_error, stability_score, avg_control_effort, path_smoothness, observer_dependence_score, audit_bandwidth","All six core metrics (mean_position_error, stability_score, avg_control_effort, path_smoothness, observer_dependence_score, audit_bandwidth) are classified deterministic_stable (CV < 1%) across repeat"
F10_anisotropy_comparative_only,moderate,comparative,anisotropy_score,anisotropy_score is meaningful only comparatively within the same turn count and encoding.  It accumulates unboundedly with run length; a value of 450 at 50 turns cannot be compared to a value of 450 
