config,turns,metric,classification,mean,std,cv,n_seeds
sc_baseline,5,mean_position_error,deterministic_stable,0.6962,0.0,0.0,3
sc_baseline,5,stability_score,deterministic_stable,0.6884,0.0,0.0,3
sc_baseline,5,avg_control_effort,deterministic_stable,0.0,0.0,,3
sc_baseline,5,path_smoothness,deterministic_stable,0.7,0.0,0.0,3
sc_baseline,5,observer_dependence_score,deterministic_stable,0.0,0.0,,3
sc_baseline,5,audit_bandwidth,deterministic_stable,1.0,0.0,0.0,3
sc_baseline,10,mean_position_error,deterministic_stable,0.6962,0.0,0.0,3
sc_baseline,10,stability_score,deterministic_stable,0.6975,0.0,0.0,3
sc_baseline,10,avg_control_effort,deterministic_stable,0.0,0.0,,3
sc_baseline,10,path_smoothness,deterministic_stable,0.75,0.0,0.0,3
sc_baseline,10,observer_dependence_score,deterministic_stable,0.0,0.0,,3
sc_baseline,10,audit_bandwidth,deterministic_stable,1.0,0.0,0.0,3
sc_strict_governance,5,mean_position_error,deterministic_stable,0.6962,0.0,0.0,3
sc_strict_governance,5,stability_score,deterministic_stable,0.6884,0.0,0.0,3
sc_strict_governance,5,avg_control_effort,deterministic_stable,0.0,0.0,,3
sc_strict_governance,5,path_smoothness,deterministic_stable,0.7,0.0,0.0,3
sc_strict_governance,5,observer_dependence_score,deterministic_stable,0.0,0.0,,3
sc_strict_governance,5,audit_bandwidth,deterministic_stable,1.0,0.0,0.0,3
sc_strict_governance,10,mean_position_error,deterministic_stable,0.6962,0.0,0.0,3
sc_strict_governance,10,stability_score,deterministic_stable,0.6975,0.0,0.0,3
sc_strict_governance,10,avg_control_effort,deterministic_stable,0.0,0.0,,3
sc_strict_governance,10,path_smoothness,deterministic_stable,0.75,0.0,0.0,3
sc_strict_governance,10,observer_dependence_score,deterministic_stable,0.0,0.0,,3
sc_strict_governance,10,audit_bandwidth,deterministic_stable,1.0,0.0,0.0,3
sc_relaxed_governance,5,mean_position_error,deterministic_stable,0.6962,0.0,0.0,3
sc_relaxed_governance,5,stability_score,deterministic_stable,0.6884,0.0,0.0,3
sc_relaxed_governance,5,avg_control_effort,deterministic_stable,0.0,0.0,,3
sc_relaxed_governance,5,path_smoothness,deterministic_stable,0.7,0.0,0.0,3
sc_relaxed_governance,5,observer_dependence_score,deterministic_stable,0.0,0.0,,3
sc_relaxed_governance,5,audit_bandwidth,deterministic_stable,1.0,0.0,0.0,3
sc_relaxed_governance,10,mean_position_error,deterministic_stable,0.6962,0.0,0.0,3
sc_relaxed_governance,10,stability_score,deterministic_stable,0.6975,0.0,0.0,3
sc_relaxed_governance,10,avg_control_effort,deterministic_stable,0.0,0.0,,3
sc_relaxed_governance,10,path_smoothness,deterministic_stable,0.75,0.0,0.0,3
sc_relaxed_governance,10,observer_dependence_score,deterministic_stable,0.0,0.0,,3
sc_relaxed_governance,10,audit_bandwidth,deterministic_stable,1.0,0.0,0.0,3
sc_probe_inactive,5,mean_position_error,insufficient_data,,,,
sc_probe_inactive,5,stability_score,insufficient_data,,,,
sc_probe_inactive,5,avg_control_effort,insufficient_data,,,,
sc_probe_inactive,5,path_smoothness,insufficient_data,,,,
sc_probe_inactive,5,observer_dependence_score,insufficient_data,,,,
sc_probe_inactive,5,audit_bandwidth,insufficient_data,,,,
sc_probe_inactive,10,mean_position_error,insufficient_data,,,,
sc_probe_inactive,10,stability_score,insufficient_data,,,,
sc_probe_inactive,10,avg_control_effort,insufficient_data,,,,
sc_probe_inactive,10,path_smoothness,insufficient_data,,,,
sc_probe_inactive,10,observer_dependence_score,insufficient_data,,,,
sc_probe_inactive,10,audit_bandwidth,insufficient_data,,,,
sc_active_measurement,5,mean_position_error,deterministic_stable,1.1966,0.0,0.0,3
sc_active_measurement,5,stability_score,deterministic_stable,0.633,0.0,0.0,3
sc_active_measurement,5,avg_control_effort,deterministic_stable,0.0,0.0,,3
sc_active_measurement,5,path_smoothness,deterministic_stable,0.7,0.0,0.0,3
sc_active_measurement,5,observer_dependence_score,deterministic_stable,1.2402,0.0,0.0,3
sc_active_measurement,5,audit_bandwidth,deterministic_stable,0.2,0.0,0.0,3
sc_active_measurement,10,mean_position_error,deterministic_stable,1.1966,0.0,0.0,3
sc_active_measurement,10,stability_score,deterministic_stable,0.633,0.0,0.0,3
sc_active_measurement,10,avg_control_effort,deterministic_stable,0.0,0.0,,3
sc_active_measurement,10,path_smoothness,deterministic_stable,0.75,0.0,0.0,3
sc_active_measurement,10,observer_dependence_score,deterministic_stable,1.2402,0.0,0.0,3
sc_active_measurement,10,audit_bandwidth,deterministic_stable,0.1,0.0,0.0,3
sc_low_cooperation,5,mean_position_error,deterministic_stable,0.6962,0.0,0.0,3
sc_low_cooperation,5,stability_score,deterministic_stable,0.6884,0.0,0.0,3
sc_low_cooperation,5,avg_control_effort,deterministic_stable,0.0,0.0,,3
sc_low_cooperation,5,path_smoothness,deterministic_stable,0.7,0.0,0.0,3
sc_low_cooperation,5,observer_dependence_score,deterministic_stable,0.0,0.0,,3
sc_low_cooperation,5,audit_bandwidth,deterministic_stable,1.0,0.0,0.0,3
sc_low_cooperation,10,mean_position_error,deterministic_stable,0.6962,0.0,0.0,3
sc_low_cooperation,10,stability_score,deterministic_stable,0.6975,0.0,0.0,3
sc_low_cooperation,10,avg_control_effort,deterministic_stable,0.0,0.0,,3
sc_low_cooperation,10,path_smoothness,deterministic_stable,0.75,0.0,0.0,3
sc_low_cooperation,10,observer_dependence_score,deterministic_stable,0.0,0.0,,3
sc_low_cooperation,10,audit_bandwidth,deterministic_stable,1.0,0.0,0.0,3
